lag_months,regime,rank,code,sector_name,avg_excess_pct,assigned_regime
2,Expansion,7,1168,KOSPI200 금융,-1.4730701237128798,Recovery
2,Expansion,8,1165,KOSPI200 경기소비재,-1.561236905654612,Slowdown
2,Expansion,9,5046,KRX 미디어통신,-1.6984711184640122,Contraction
2,Expansion,10,1170,KOSPI200 유틸리티,-1.7816584055161349,Slowdown
2,Expansion,11,1157,KOSPI200 생활소비재,-2.430959322822381,Slowdown
2,Slowdown,1,1170,KOSPI200 유틸리티,1.7973964401827132,Slowdown
2,Slowdown,2,5042,KRX 산업재,1.1995187844291457,Expansion
2,Slowdown,3,1157,KOSPI200 생활소비재,0.8220201099670456,Slowdown
2,Slowdown,4,1168,KOSPI200 금융,0.2967013254249611,Recovery
2,Slowdown,5,5049,KRX 철강,0.2015427392278487,Contraction
2,Slowdown,6,1155,KOSPI200 정보기술,0.06659280560747033,Recovery
2,Slowdown,7,5046,KRX 미디어통신,0.030293358935003695,Contraction
2,Slowdown,8,1165,KOSPI200 경기소비재,-0.16202071838480284,Slowdown
2,Slowdown,9,5044,KRX 반도체,-0.34553889313166,Expansion
2,Slowdown,10,5048,KRX 에너지화학,-0.39995471087476964,Contraction
2,Slowdown,11,5045,KRX 헬스케어,-1.002650694060135,Expansion
2,Contraction,1,5044,KRX 반도체,1.4110229783549966,Expansion
2,Contraction,2,1155,KOSPI200 정보기술,0.4831412999305639,Recovery
2,Contraction,3,1165,KOSPI200 경기소비재,0.4081118481204986,Slowdown
2,Contraction,4,5048,KRX 에너지화학,0.014790454333462962,Contraction
2,Contraction,5,5042,KRX 산업재,-0.1640549063723102,Expansion
2,Contraction,6,5049,KRX 철강,-0.2986069729165681,Contraction
2,Contraction,7,1168,KOSPI200 금융,-0.5689347552510535,Recovery
2,Contraction,8,1157,KOSPI200 생활소비재,-0.9922653907491573,Slowdown
2,Contraction,9,5046,KRX 미디어통신,-1.1075325592937284,Contraction
2,Contraction,10,5045,KRX 헬스케어,-1.4845174942892814,Expansion
2,Contraction,11,1170,KOSPI200 유틸리티,-1.5909732339417055,Slowdown
